,is_goal,x,y,shot_body_part,shot_type,play_pattern
25235,0,107.6,50.3,Right Foot,Open Play,From Throw In
25236,0,95.6,33.0,Right Foot,Open Play,Regular Play
25237,0,105.3,53.9,Right Foot,Open Play,Regular Play
25238,0,96.4,24.8,Right Foot,Open Play,From Corner
25239,0,104.8,45.2,Right Foot,Open Play,From Counter
25240,0,88.4,66.8,Right Foot,Open Play,From Free Kick
25241,0,104.3,36.5,Head,Open Play,Regular Play
25242,0,84.6,41.5,Right Foot,Open Play,Regular Play
25243,0,110.7,55.2,Right Foot,Open Play,From Free Kick
25244,0,99.0,37.7,Left Foot,Open Play,Regular Play
25245,0,110.4,50.7,Left Foot,Open Play,Regular Play
25246,0,110.2,31.0,Left Foot,Open Play,Regular Play
25248,0,110.9,51.0,Right Foot,Open Play,From Free Kick
25249,0,96.8,30.3,Right Foot,Open Play,From Corner
25250,0,90.9,37.9,Left Foot,Open Play,From Free Kick
25251,0,93.8,34.2,Right Foot,Open Play,From Corner
25252,0,111.9,46.6,Right Foot,Open Play,Regular Play
25253,0,117.7,46.3,Right Foot,Open Play,Regular Play
25254,1,117.5,44.3,Right Foot,Open Play,Regular Play
25255,0,100.0,39.7,Left Foot,Open Play,From Counter
25256,0,98.4,25.0,Right Foot,Open Play,From Corner
25257,0,107.3,49.1,Right Foot,Open Play,Regular Play
25258,0,93.2,22.1,Left Foot,Open Play,From Corner
25259,0,102.2,41.7,Left Foot,Open Play,Regular Play
28886,0,111.5,35.6,Head,Open Play,From Free Kick
28887,0,110.6,39.1,Head,Open Play,From Throw In
28888,0,110.4,36.3,Head,Open Play,From Throw In
28889,0,98.2,48.5,Right Foot,Open Play,From Keeper
28890,0,93.4,42.8,Left Foot,Open Play,Regular Play
28891,0,110.8,30.2,Right Foot,Open Play,From Goal Kick
28892,0,89.6,39.9,Right Foot,Open Play,Regular Play
28893,0,110.7,40.0,Head,Open Play,From Corner
28894,0,98.5,49.0,Right Foot,Open Play,Regular Play
28895,0,111.8,30.1,Head,Open Play,From Free Kick
28896,0,113.4,42.5,Right Foot,Open Play,Regular Play
28897,1,114.8,36.0,Head,Open Play,From Free Kick
28898,0,94.0,23.3,Left Foot,Open Play,From Free Kick
28899,0,106.5,26.8,Left Foot,Open Play,Regular Play
28900,0,100.2,47.5,Right Foot,Open Play,Regular Play
28902,0,97.5,33.5,Right Foot,Free Kick,From Free Kick
28903,0,114.6,49.6,Right Foot,Open Play,Regular Play
28904,0,103.8,44.5,Right Foot,Open Play,From Free Kick
28905,1,96.9,35.2,Left Foot,Open Play,From Throw In
28906,0,105.4,39.0,Head,Open Play,From Free Kick
33205,0,107.8,33.9,Left Foot,Open Play,From Corner
33206,1,111.4,44.6,Left Foot,Open Play,From Corner
33207,0,112.2,31.5,Head,Open Play,From Corner
33208,0,95.5,49.3,Right Foot,Open Play,From Corner
33209,1,111.8,42.0,Head,Open Play,From Corner
33210,0,95.1,58.6,Left Foot,Open Play,From Kick Off
33211,0,112.9,29.1,Right Foot,Open Play,Regular Play
33212,0,100.3,33.7,Right Foot,Open Play,Regular Play
33213,0,103.9,26.1,Left Foot,Open Play,From Corner
33214,0,103.5,60.0,Left Foot,Open Play,Regular Play
33215,0,87.8,41.9,Right Foot,Free Kick,From Free Kick
33216,0,93.2,41.6,Right Foot,Open Play,From Free Kick
33217,0,109.4,37.6,Right Foot,Open Play,From Free Kick
33218,0,94.0,47.1,Left Foot,Open Play,Regular Play
33219,0,98.9,43.6,Right Foot,Open Play,Regular Play
33220,0,103.0,41.1,Left Foot,Open Play,From Throw In
33221,0,99.3,43.4,Left Foot,Open Play,From Free Kick
33222,0,95.2,54.9,Right Foot,Open Play,Regular Play
33223,0,97.2,45.5,Right Foot,Open Play,Regular Play
33224,0,116.0,41.1,Head,Open Play,From Corner
33225,0,90.4,48.6,Left Foot,Open Play,Regular Play
33226,0,108.1,38.6,Head,Open Play,Regular Play
33227,0,100.6,53.8,Left Foot,Open Play,From Free Kick
